pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
5qjj,5QJJ,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJJ.cif,verified,WAR/NUDT5/5qjj.cif,WAR/NUDT5/5qjj.cif,true,699287,,2026-06-05T12:16:08Z
5qjl,5QJL,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJL.cif,verified,WAR/NUDT5/5qjl.cif,WAR/NUDT5/5qjl.cif,true,719131,,2026-06-05T12:16:08Z
5qjm,5QJM,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJM.cif,verified,WAR/NUDT5/5qjm.cif,WAR/NUDT5/5qjm.cif,true,702420,,2026-06-05T12:16:08Z
5qjq,5QJQ,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJQ.cif,verified,WAR/NUDT5/5qjq.cif,WAR/NUDT5/5qjq.cif,true,706959,,2026-06-05T12:16:09Z
5qjo,5QJO,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJO.cif,verified,WAR/NUDT5/5qjo.cif,WAR/NUDT5/5qjo.cif,true,693278,,2026-06-05T12:16:08Z
5qjr,5QJR,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJR.cif,verified,WAR/NUDT5/5qjr.cif,WAR/NUDT5/5qjr.cif,true,688287,,2026-06-05T12:16:09Z
5qjn,5QJN,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJN.cif,verified,WAR/NUDT5/5qjn.cif,WAR/NUDT5/5qjn.cif,true,691242,,2026-06-05T12:16:08Z
5qjp,5QJP,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJP.cif,verified,WAR/NUDT5/5qjp.cif,WAR/NUDT5/5qjp.cif,true,698366,,2026-06-05T12:16:09Z
5qjs,5QJS,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJS.cif,verified,WAR/NUDT5/5qjs.cif,WAR/NUDT5/5qjs.cif,true,698077,,2026-06-05T12:16:09Z
5qji,5QJI,NUDT5,rcsb,ADP-sugar pyrophosphatase 8-OXO-2'-DEOXY-GUANOSINE-5'-MONOPHOSPHATE 8OG bound inhibitor Homo sapiens,https://files.rcsb.org/download/5QJI.cif,verified,WAR/NUDT5/5qji.cif,WAR/NUDT5/5qji.cif,true,693677,,2026-06-05T12:16:08Z
