Ligand,PDB,Error
A02,9i9u,"Missing SMILES (tried ['A1I1H', 'A1I', 'A02'])"
A02,9i9u,"Missing SMILES (tried ['A1I1H', 'A1I', 'A02'])"
A03,9o37,"Missing SMILES (tried ['A1B7X', 'A1B', 'A03'])"
A04,9o6h,"Missing SMILES (tried ['A1B9W', 'A1B', 'A04'])"
A04,9o6h,"Missing SMILES (tried ['A1B9W', 'A1B', 'A04'])"
A04,9o6h,"Missing SMILES (tried ['A1B9W', 'A1B', 'A04'])"
A04,9o6h,"Missing SMILES (tried ['A1B9W', 'A1B', 'A04'])"
BW4,6arj,Size mismatch: SMILES=41 vs 3D=82
BW4,6arj,GRAPH_FULL skipped: size>80
BW4,6arj,Size mismatch: SMILES=41 vs 3D=80
BW4,6arj,Size mismatch: SMILES=41 vs 3D=82
BW4,6arj,GRAPH_FULL skipped: size>80
BW4,6arj,Size mismatch: SMILES=41 vs 3D=80
DSH,5is7,Size mismatch: SMILES=23 vs 3D=44
DSH,5is7,Size mismatch: SMILES=23 vs 3D=44
DSH,5is7,Size mismatch: SMILES=23 vs 3D=44
DSH,5is7,Size mismatch: SMILES=23 vs 3D=44
DXE,5ih3,Size mismatch: SMILES=6 vs 3D=16
DXE,5ih3,Size mismatch: SMILES=6 vs 3D=16
DXE,5ih3,Size mismatch: SMILES=6 vs 3D=16
DXE,5ih3,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is6,Size mismatch: SMILES=6 vs 3D=16
DXE,5is9,Size mismatch: SMILES=6 vs 3D=16
DXE,5is9,Size mismatch: SMILES=6 vs 3D=16
DXE,5isa,Size mismatch: SMILES=6 vs 3D=16
DXE,5isa,Size mismatch: SMILES=6 vs 3D=16
DXE,5isa,Size mismatch: SMILES=6 vs 3D=16
DXE,5isc,Size mismatch: SMILES=6 vs 3D=16
DXE,5isc,Size mismatch: SMILES=6 vs 3D=16
DXE,5ise,Size mismatch: SMILES=6 vs 3D=16
DXE,5ise,Size mismatch: SMILES=6 vs 3D=16
DXE,5ise,Size mismatch: SMILES=6 vs 3D=16
DXE,5ise,Size mismatch: SMILES=6 vs 3D=16
DXE,5isf,Size mismatch: SMILES=6 vs 3D=16
DXE,5isf,Size mismatch: SMILES=6 vs 3D=16
DXE,5isf,Size mismatch: SMILES=6 vs 3D=16
DXE,5isf,Size mismatch: SMILES=6 vs 3D=16
DXE,5isg,Size mismatch: SMILES=6 vs 3D=16
DXE,5isg,Size mismatch: SMILES=6 vs 3D=16
DXE,5isg,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5ish,Size mismatch: SMILES=6 vs 3D=16
DXE,5isi,Size mismatch: SMILES=6 vs 3D=16
DXE,5isi,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8v,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8w,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5k8x,Size mismatch: SMILES=6 vs 3D=16
DXE,5lgq,Size mismatch: SMILES=6 vs 3D=16
DXE,5lgr,Size mismatch: SMILES=6 vs 3D=16
DXE,5lgs,Size mismatch: SMILES=6 vs 3D=16
DXE,5lgs,Size mismatch: SMILES=6 vs 3D=16
DXE,5lgs,Size mismatch: SMILES=6 vs 3D=16
DXE,5lkj,Size mismatch: SMILES=6 vs 3D=16
DXE,5lkj,Size mismatch: SMILES=6 vs 3D=16
DXE,5lkj,Size mismatch: SMILES=6 vs 3D=16
DXE,5lkj,Size mismatch: SMILES=6 vs 3D=16
DXE,5lkj,Size mismatch: SMILES=6 vs 3D=16
DXE,5lv2,Size mismatch: SMILES=6 vs 3D=16
DXE,5ntc,Size mismatch: SMILES=6 vs 3D=16
DXE,5ntc,Size mismatch: SMILES=6 vs 3D=16
DXE,5tbj,Size mismatch: SMILES=6 vs 3D=16
FTG,6d2l,Size mismatch: SMILES=44 vs 3D=39
FTG,6d2l,Size mismatch: SMILES=44 vs 3D=38
GJV,5k8w,Size mismatch: SMILES=24 vs 3D=45
GJV,5k8w,Size mismatch: SMILES=24 vs 3D=45
GJV,5k8w,Size mismatch: SMILES=24 vs 3D=45
GJV,5k8w,Size mismatch: SMILES=24 vs 3D=45
