Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
A02,Mpro,23mb,B,401,23mb_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23md,A,401,23md_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23md,B,401,23md_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mf,A,401,23mf_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mf,B,401,23mf_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mg,A,401,23mg_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mg,B,401,23mg_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mi,A,401,23mi_A_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A02,Mpro,23mi,B,401,23mi_B_A02_401,NO_2D_OUTPUT_ALL,,MISSING_2D,"Missing SMILES (tried ['A1EN0', 'A1E', 'A02'])"
A04,Mpro,8rjv,A,401,8rjv_A_A04_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=60
A05,Mpro,8rjy,A,401,8rjy_A_A05_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=40 vs 3D=72
A18,Mpro,9e7b,A,401,9e7b_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9e7s,A,401,9e7s_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9e8r,A,401,9e8r_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9n5q,A,401,9n5q_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9n6f,A,401,9n6f_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9n9b,A,401,9n9b_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A18,Mpro,9nng,A,401,9nng_A_A18_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=68
A19,Mpro,9g0h,A,402,9g0h_A_A19_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=37 vs 3D=67
A20,Mpro,9g0i,A,403,9g0i_A_A20_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=37 vs 3D=60
A29,Mpro,9hfx,A,401,9hfx_A_A29_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=38 vs 3D=33
A32,Mpro,9ir9,A,401,9ir9_A_A32_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=32 vs 3D=31
A33,Mpro,9lll,A,401,9lll_A_A33_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=45 vs 3D=62
A34,Mpro,9mdq,A,401,9mdq_A_A34_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=34
A35,Mpro,9mlj,A,402,9mlj_A_A35_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=84; GRAPH_FULL skipped: size>80
A35,Mpro,9nnw,A,401,9nnw_A_A35_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=84; GRAPH_FULL skipped: size>80
A41,Mpro,9n3m,A,401,9n3m_A_A41_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=32
A43,Mpro,9sdm,A,401,9sdm_A_A43_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=71
A43,Mpro,9sdm,B,401,9sdm_B_A43_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=39 vs 3D=71
A48,Mpro,9znl,A,401,9znl_A_A48_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=48 vs 3D=84; GRAPH_FULL skipped: size>80
ALD,Mpro,7be7,A,401,7be7_A_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7be7,B,702,7be7_B_ALD_702,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7bgp,B,401,7bgp_B_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7bgp,A,402,7bgp_A_ALD_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7nf5,A,401,7nf5_A_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7ng3,B,401,7ng3_B_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7ng3,A,402,7ng3_A_ALD_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7ng6,B,401,7ng6_B_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,7ng6,A,701,7ng6_A_ALD_701,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,8p54,A,401,8p54_A_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,8p55,A,402,8p55_A_ALD_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
ALD,Mpro,8p86,A,401,8p86_A_ALD_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=76
B1S,Mpro,8dd9,A,401,8dd9_A_B1S_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
B1S,Mpro,8dgb,A,401,8dgb_A_B1S_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
B1S,Mpro,8dgb,B,401,8dgb_B_B1S_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
DIO,Mpro,7mau,B,501,7mau_B_DIO_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=6 vs 3D=14
H37,Mpro,7mat,A,401,7mat_A_H37_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=65
H37,Mpro,7mat,B,402,7mat_B_H37_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=36 vs 3D=65
K2X,Mpro,8tqt,A,401,8tqt_A_K2X_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=33
K36,Mpro,8d4k,A,401,8d4k_A_K36_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
K36,Mpro,8d4m,A,401,8d4m_A_K36_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
K36,Mpro,8dd1,A,401,8dd1_A_K36_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
K36,Mpro,8ddm,A,401,8ddm_A_K36_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=29
LZX,Mpro,7gd7,A,404,7gd7_A_LZX_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=46
M26,Mpro,7gd2,A,404,7gd2_A_M26_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=26 vs 3D=52
OOL,Mpro,7gg3,A,404,7gg3_A_OOL_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=13 vs 3D=12
PHE,Mpro,9bbp,A,404,9bbp_A_PHE_404,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=12 vs 3D=11
THR,Mpro,9bbp,A,403,9bbp_A_THR_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=7
U88,Mpro,7nby,A,401,7nby_A_U88_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,B,401,7nby_B_U88_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,A,402,7nby_A_U88_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,B,402,7nby_B_U88_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,A,403,7nby_A_U88_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,B,403,7nby_B_U88_403,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,A,406,7nby_A_U88_406,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
U88,Mpro,7nby,B,406,7nby_B_U88_406,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=8 vs 3D=9
V2M,Mpro,9el4,A,402,9el4_A_V2M_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9el4,B,402,9el4_B_V2M_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9elv,A,402,9elv_A_V2M_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9elv,B,402,9elv_B_V2M_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
V2M,Mpro,9mei,B,401,9mei_B_V2M_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=134; GRAPH_FULL skipped: size>80
V2M,Mpro,9mei,A,402,9mei_A_V2M_402,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=34 vs 3D=67
