Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
KOU,(E)-N-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)-L-serine,C11 H15 N2 O8 P,non-polymer,Cc1c(c(c(cn1)COP(=O)(O)O)/C=N/C(CO)C(=O)O)O,Cc1ncc(COP(=O)(O)O)c(/C=N/C(CO)C(=O)O)c1O,False,Cc1ncc(COP(=O)(O)O)c(/C=N/C(CO)C(=O)O)c1O,"InChI=1S/C11H15N2O8P/c1-6-10(15)8(3-13-9(4-14)11(16)17)7(2-12-6)5-21-22(18,19)20/h2-3,9,14-15H,4-5H2,1H3,(H,16,17)(H2,18,19,20)/b13-3+",ZTQZHYMXYBDMIL-QLKAYGNNSA-N,334.22100000000006,-0.43068000000000034,169.76999999999998,7,5,7,1,1,0.36363636363636365,22,0,0,0.3276728904313362,626.7632276765911,-1.84,18.209603174603174,7.431083713902391,5.170330808643352,0,0,0,1,0,11,73.57550000000002,nan,True,False,False,False,False,None,imine_1; phosphor
DSN,D-SERINE,C3 H7 N O3,D-peptide linking,C([C@H](C(=O)O)N)O,N[C@H](CO)C(=O)O,False,N[C@H](CO)C(=O)O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1",MTCFGRXMJLQNBG-UWTATZPHSA-N,105.09299999999999,-1.6093999999999995,83.55,3,3,2,0,0,0.6666666666666666,7,0,0,0.3942403492047702,72.58027134782354,-0.6100000000000001,6.390000000000001,2.5439940390036266,2.1321150278293133,0,0,0,0,0,4,22.697000000000003,nan,True,True,True,False,False,None,None
THG,"(6S)-5,6,7,8-TETRAHYDROFOLATE",C19 H23 N7 O6,non-polymer,c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NC[C@H]2CNC3=C(N2)C(=O)NC(=N3)N,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,False,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,"InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t11-,12-/m0/s1",MSTNYGQPCMXVAQ-RYUDHWBXSA-N,445.43600000000015,-0.28199999999999836,211.55999999999997,9,8,9,3,2,0.3157894736842105,32,0,0,0.25123511555675787,1068.8263790239987,-4.290000000000001,22.396440369776688,9.678741669038098,5.650170261847696,0,0,1,2,0,13,115.86200000000004,nan,True,False,False,True,False,None,None
FFO,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid",C20 H23 N7 O7,non-polymer,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCC2CNC3=C(N2C=O)C(=O)NC(=N3)N,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,False,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)",VVIAGPKUTFNRDU-UHFFFAOYSA-N,473.4460000000002,-0.7310999999999979,219.84,9,7,10,3,2,0.3,34,0,0,0.21313148229853152,1148.9497925506862,-4.620000000000001,24.030936463775323,10.331188737541911,5.5905539764341805,0,0,1,2,0,14,120.78230000000003,nan,True,False,False,False,False,None,aldehyde
SER,SERINE,C3 H7 N O3,L-peptide linking,C([C@@H](C(=O)O)N)O,N[C@@H](CO)C(=O)O,False,N[C@@H](CO)C(=O)O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",MTCFGRXMJLQNBG-REOHCLBHSA-N,105.09299999999999,-1.6093999999999995,83.55,3,3,2,0,0,0.6666666666666666,7,0,0,0.3942403492047702,72.58027134782354,-0.6100000000000001,6.390000000000001,2.5439940390036266,2.1321150278293133,0,0,0,0,0,4,22.697000000000003,nan,True,True,True,False,False,None,None
A1AQW,(E)-N-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)glycine,C10 H13 N2 O7 P,non-polymer,Cc1c(c(c(cn1)COP(=O)(O)O)/C=N/CC(=O)O)O,Cc1ncc(COP(=O)(O)O)c(/C=N/CC(=O)O)c1O,False,Cc1ncc(COP(=O)(O)O)c(/C=N/CC(=O)O)c1O,"InChI=1S/C10H13N2O7P/c1-6-10(15)8(3-11-4-9(13)14)7(2-12-6)5-19-20(16,17)18/h2-3,15H,4-5H2,1H3,(H,13,14)(H2,16,17,18)/b11-3+",HQEMYVORUPOKEX-QDEBKDIKSA-N,304.195,0.20841999999999966,149.54,6,4,6,1,1,0.3,20,0,0,0.4299788846343024,581.213993440903,-1.8,16.254945054945058,6.575910494726415,5.058996539792387,0,0,0,1,0,10,67.56870000000002,nan,True,False,False,True,True,None,imine_1; phosphor
C2F,"5-METHYL-5,6,7,8-TETRAHYDROFOLIC ACID",C20 H25 N7 O6,non-polymer,C[N@@]1[C@H](CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12-,13-/m0/s1",ZNOVTXRBGFNYRX-STQMWFEESA-N,459.46300000000025,-0.257699999999999,202.76999999999998,9,7,9,3,2,0.35,33,0,0,0.26022195119447655,1101.0726103456773,-4.29,23.374730436438565,9.889514284280702,5.695362671877988,0,0,1,2,0,13,120.64230000000006,nan,True,False,False,True,False,None,None
