Warhead,SMILES
KY2,['[H]/N=C(\\N)/NCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
KY5,['c1ccnc(c1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
KY8,['c1cnc(nc1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
KYB,['[H]/N=C(/N)\\NCCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
KYE,['[H]/N=C(/N)\\NCCCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
KYH,['[H]/N=C(\\N)/NCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
LHB,['COCN1C=C(C(=NC1=O)N)CNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
LHD,['COCN1C=C(C(=NC1=O)N)C[NH2+]CC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
LHF,['c1cc(ccc1OCCN2C=C(C(=NC2=O)N)CNCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)Br']
LPD,['C1C[C@H](NC1)C(=O)N']
LRZ,['[H]/N=C(\\NCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)/NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O']
LSK,['[H]/N=C(/NCCCCCNC(=O)Nc1ccc2cc(cc(c2c1)O)C(=O)OC)\\NC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O']
M2M,['COCCOCCOC']
P15,['COCCOCCOCCOCCOCCOCCO']
P33,['C(COCCOCCOCCOCCOCCOCCO)O']
PE8,['C(COCCOCCOCCOCCOCCOCCOCCO)O']
PG6,['COCCOCCOCCOCCOCCOC']
QVR,['C/C=C/[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O']
SAH,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N']
SAO,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)[NH3+])O)O)N']
SFG,['c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N']
X9L,['c1cc(cc(c1)Br)CNCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
XJ2,['CNC[C@H](CN1CCCc2ccccc2C1)O']
XJ3,['Cc1c(nc(nc1NC2CCOCC2)c3cccc(c3)CNCCNC)c4c(noc4C)C']
XJ4,['Cc1c(nc(nc1Nc2ccccc2)c3cccc(c3)CNCCNC)c4c(noc4C)C']
YVU,['c1ccc(cc1)CNC(=O)NCCSC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O']
