Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
DYRK1A,2C3,COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)N[C@H](CCN)c4cccc(c4)Cl,DYRK1A_SCAF_27,O=C(NCc1ccccc1)c1cccc(NC(=O)c2cc3cncnc3[nH]c2=O)c1,bb6327a4
DYRK1A,RHW,c1cc2c(cco2)cc1c3cc(nc(c3)N)N,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,RUT,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(Oc4cc(cc(c4C3=O)O)O)c5ccc(c(c5)O)O)O)O)O)O)O)O,DYRK1A_SCAF_28,O=c1c(O[C@H]2CCC[C@@H](CO[C@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,62d697c4
DYRK1A,HRM,Cc1c2c(ccn1)c3ccc(cc3[nH]2)OC,DYRK1A_SCAF_29,c1ccc2c(c1)[nH]c1cnccc12,11430021
DYRK1A,RK8,Cc1nc2ccc(nc2n1C[C@H](C)Oc3cccc(n3)Br)c4cc(nc(c4)N)N,DYRK1A_SCAF_30,c1ccc(OCCn2cnc3ccc(-c4ccncc4)nc32)nc1,be483996
DYRK1A,ZC3,CC(=O)Nc1nc2cc(ccc2s1)F,DYRK1A_SCAF_18,c1ccc2scnc2c1,d04a9143
DYRK1A,A1IE8,c1cc(cnc1)CNc2nc3ccoc3c(n2)Nc4cc(n[nH]4)C5CCC5,DYRK1A_SCAF_31,c1cncc(CNc2nc(Nc3cc(C4CCC4)n[nH]3)c3occc3n2)c1,0fea094b
DYRK1A,QYW,Cc1nc(c2c(c([nH]c2n1)c3cccnc3)C#N)N,DYRK1A_SCAF_32,c1cncc(-c2cc3cncnc3[nH]2)c1,be8bd75b
DYRK1A,7QQ,CC(=O)Nc1nc2cc(ccc2s1)OC,DYRK1A_SCAF_18,c1ccc2scnc2c1,d04a9143
DYRK1A,Q8J,CCN1CCN(CC1)C(=O)Nc2cc(ccn2)c3cn(c4c3ccnc4)C5CCOCC5,DYRK1A_SCAF_33,O=C(Nc1cc(-c2cn(C3CCOCC3)c3cnccc23)ccn1)N1CCNCC1,229ec79f
DYRK1A,KQK,CN(C)c1nccc(n1)c2cnn3c2cccn3,DYRK1A_SCAF_34,c1cnn2ncc(-c3ccncn3)c2c1,f03ac333
DYRK1A,B6B,COc1ccc(cc1c2cnc(c(n2)C(=O)c3cccnc3)N)N,DYRK1A_SCAF_35,O=C(c1cccnc1)c1cncc(-c2ccccc2)n1,74072df4
DYRK1A,B6Z,CN1CCN(CC1)c2ccc(c(c2)OC)Nc3nc(c(s3)C(=O)c4ccccc4)N,DYRK1A_SCAF_19,O=C(c1ccccc1)c1cnc(Nc2ccc(N3CCNCC3)cc2)s1,f6b8a260
DYRK1A,AWR,COc1ccc2c3ccnc(c3n(c2c1)CCCCN)C(F)(F)F,DYRK1A_SCAF_29,c1ccc2c(c1)[nH]c1cnccc12,11430021
DYRK1A,QIV,CC(=O)Nc1nc2cc(ccc2s1)O,DYRK1A_SCAF_18,c1ccc2scnc2c1,d04a9143
DYRK1A,QYE,c1csc2c1c(ncc2Cl)N,DYRK1A_SCAF_36,c1cc2sccc2cn1,fc98c475
DYRK1A,RJ8,c1cc2c(cco2)cc1c3ccnc(c3)N,DYRK1A_SCAF_25,c1cc(-c2ccc3occc3c2)ccn1,1667eb9c
DYRK1A,4E1,c1ccc2c(c1)c3c(c4cccc(c4[nH]3)I)c(n2)C(=O)O,DYRK1A_SCAF_37,c1ccc2c(c1)ncc1c3ccccc3[nH]c21,91efa426
DYRK1A,A1A04,CN1CCN(CC1)c2ccc(cc2F)c3c4cc(ccc4ncn3)c5ccnc(c5)N,DYRK1A_SCAF_38,c1cc(-c2ccc3ncnc(-c4ccc(N5CCNCC5)cc4)c3c2)ccn1,dd851341
DYRK1A,JHW,c1cc(cnc1)c2nc3ccc4c(c3s2)C(=O)N(C=N4)C5CC5,DYRK1A_SCAF_39,O=c1c2c(ccc3nc(-c4cccnc4)sc32)ncn1C1CC1,91e2ca26
DYRK1A,KRQ,CNc1nccc(n1)c2cnn3c2cccn3,DYRK1A_SCAF_34,c1cnn2ncc(-c3ccncn3)c2c1,f03ac333
DYRK1A,D15,c1ccc(cc1)C(=O)Nc2c3cc(ccc3[nH]n2)NC(=O)[C@@H](CCN)c4cccc(c4)Cl,DYRK1A_SCAF_40,O=C(Cc1ccccc1)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1,389f6385
DYRK1A,39I,c1ccc(cc1)CNc2nc3ccsc3c(n2)Nc4cc(n[nH]4)C5CC5,DYRK1A_SCAF_41,c1ccc(CNc2nc(Nc3cc(C4CC4)n[nH]3)c3sccc3n2)cc1,14c1272a
DYRK1A,4H5,COc1ccc2c3ccnc(c3n(c2c1)CC#N)Cl,DYRK1A_SCAF_29,c1ccc2c(c1)[nH]c1cnccc12,11430021
DYRK1A,9OL,CC1(Cc2cc(ccc2-c3c1c(ncn3)N)C(=C)C4CCNCC4)C,DYRK1A_SCAF_42,C=C(c1ccc2c(c1)CCc1cncnc1-2)C1CCNCC1,5815180b
DYRK1A,R7O,c1cc(c(cc1C2=C(C(=O)c3c(cc(c(c3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O)O,DYRK1A_SCAF_43,O=c1cc(-c2ccccc2)oc2c(O[C@H]3CCCCO3)cccc12,250ffe54
DYRK1A,2C4,COc1ncc2c(n1)NC(=O)C(=C2)C(=O)Nc3cc(ccc3Cl)C(=O)OC,DYRK1A_SCAF_44,O=C(Nc1ccccc1)c1cc2cncnc2[nH]c1=O,4fa6c2d6
DYRK1A,5PW,CC(=O)Nc1nc2ccc(cc2s1)[N+](=O)[O-],DYRK1A_SCAF_18,c1ccc2scnc2c1,d04a9143
