Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
Mpro,Mpro_SCAF_38,O=C(Cc1cccc(C2CC2)c1)Nc1cccnc1,O=C(Cc1cccc(C2CC2)c1)Nc1cccnc1,Polycyclic_Hetero,9.566950406484207e-15,0.07188841377295428,4.726378019118523e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_39,O=C(CC1C[C@@H]2C[C@@H]2C1)Nc1cccnc1,O=C(CC1C[C@@H]2C[C@@H]2C1)Nc1cccnc1,Polycyclic_Hetero,-3.788636071533347e-15,-7.147060721024445e-15,-0.16047363594801203,1,1,0.002840909090909091
Mpro,Mpro_SCAF_4,c1ccccc1,c1ccccc1,Monocyclic,-8.511709855459534e-16,-4.255854927729767e-15,6.15537713392437e-16,1,3,0.008522727272727272
Mpro,Mpro_SCAF_40,O=C(Cc1ccccc1)Nn1cn[nH]c1=O,O=C(Cc1ccccc1)Nn1cn[nH]c1=O,Bicyclic_Hetero,3.3135887196504673e-15,-1.2724863897626794e-15,0.015641578810100643,1,1,0.002840909090909091
Mpro,Mpro_SCAF_41,O=S(=O)(Nc1cccnc1)c1ccccc1,O=S(=O)(Nc1cccnc1)c1ccccc1,Bicyclic_Hetero,-6.823601512888462e-15,-1.5585823230314697e-15,0.02329150578743675,1,1,0.002840909090909091
Mpro,Mpro_SCAF_42,O=C(Nc1cccnc1)C1CCOC1,O=C(Nc1cccnc1)C1CCOC1,Bicyclic_Hetero,4.594615286525648e-15,-1.793437193625253e-16,-4.440892098500626e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_43,O=C(CN1C(=O)COc2ccccc21)Nc1cccnc1,O=C(CN1C(=O)COc2ccccc21)Nc1cccnc1,Polycyclic_Hetero,-1.04687500498478e-14,1.5608429581494848e-15,-0.012421341158845097,1,1,0.002840909090909091
Mpro,Mpro_SCAF_44,O=C(Nc1cccnc1)C1[C@H]2CCCC[C@@H]12,O=C(Nc1cccnc1)C1[C@H]2CCCC[C@@H]12,Polycyclic_Hetero,-4.957839694341715e-15,-6.295311494319833e-15,-0.16047363594800465,1,1,0.002840909090909091
Mpro,Mpro_SCAF_45,O=C(Cn1ccc2ccccc21)Nc1cccnc1,O=C(Cn1ccc2ccccc21)Nc1cccnc1,Polycyclic_Hetero,8.659739592076221e-15,-1.229333475294414e-14,-0.1604736359479928,1,2,0.005681818181818182
Mpro,Mpro_SCAF_46,O=C(Nc1cccnc1)[C@@H]1Cc2ccccc21,O=C(Nc1cccnc1)[C@@H]1Cc2ccccc21,Polycyclic_Hetero,-2.947833548142657e-14,-6.822894739610186e-14,-5.4898614390085326e-14,1,1,0.002840909090909091
Mpro,Mpro_SCAF_47,O=C1CC(C(=O)NCCOc2ccccc2)=CC=N1,O=C1CC(C(=O)NCCOc2ccccc2)=CC=N1,Bicyclic_Hetero,-1.1935503090915682e-12,-6.106495780414027e-13,-0.0008872273863925869,1,1,0.002840909090909091
Mpro,Mpro_SCAF_48,C1CCC(CN(C2CCCCC2)[C@@H]2CCCNC2)CC1,C1CCC(CN(C2CCCCC2)[C@@H]2CCCNC2)CC1,Polycyclic_Hetero,-3.5033704332616053e-15,-2.3026847918151395e-15,-0.052839876512226484,1,1,0.002840909090909091
Mpro,Mpro_SCAF_49,c1ccc2c(c1)CCNC2,c1ccc2c(c1)CCNC2,Bicyclic_Hetero,9.727668406239468e-16,2.4107699963289115e-15,-2.6698220354081144e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_5,O=C(Nc1ccccc1)c1ccccc1,O=C(Nc1ccccc1)c1ccccc1,Bicyclic_Hetero,4.927682193913195e-15,-2.878039686912906e-15,0.015641578810100414,1,1,0.002840909090909091
Mpro,Mpro_SCAF_50,O=C(Cc1cccc(O[C@@H]2CC(=O)N2)c1)Nc1cccnc1,O=C(Cc1cccc(O[C@@H]2CC(=O)N2)c1)Nc1cccnc1,Polycyclic_Hetero,5.553515605341188e-14,3.869277270957134e-15,-0.022957941966527815,1,3,0.008522727272727272
Mpro,Mpro_SCAF_51,O=C1CC(C(=O)Nc2cccnc2)(c2ccccc2)C1,O=C1CC(C(=O)Nc2cccnc2)(c2ccccc2)C1,Polycyclic_Hetero,-5.873569604542648e-15,-8.620555250030627e-16,6.326638559444826e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_52,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1,Polycyclic_Hetero,-1.2807936529539305e-14,7.054962674663495e-15,-0.2134436980523067,1,1,0.002840909090909091
Mpro,Mpro_SCAF_53,O=C(CC1CC2(CC2)C1)Nc1cccnc1,O=C(CC1CC2(CC2)C1)Nc1cccnc1,Polycyclic_Hetero,4.353462035311395e-14,4.274358644806853e-15,0.09698260372108028,1,1,0.002840909090909091
Mpro,Mpro_SCAF_54,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,Bicyclic_Hetero,-4.510281037539698e-16,1.27675647831893e-15,1.8041124150158794e-16,1,1,0.002840909090909091
Mpro,Mpro_SCAF_55,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccccc1,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccccc1,Polycyclic_Hetero,-3.3210290885884806e-13,-1.6951488992987845e-11,0.051966835220940394,1,4,0.011363636363636364
Mpro,Mpro_SCAF_56,O=C(C[C@@H]1C(=O)Nc2ccccc21)NCc1ccccc1,O=C(C[C@@H]1C(=O)Nc2ccccc21)NCc1ccccc1,Polycyclic_Hetero,-1.3058623251807247e-14,6.4452947483644225e-15,-0.05514579550841855,1,1,0.002840909090909091
Mpro,Mpro_SCAF_57,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1,Polycyclic_Hetero,1.0248212535001446e-16,1.13584355596266e-15,-0.0462449130746337,1,1,0.002840909090909091
Mpro,Mpro_SCAF_58,O=S(=O)(NCCc1ccccc1)c1cccc2scnc12,O=S(=O)(NCCc1ccccc1)c1cccc2scnc12,Polycyclic_Hetero,8.136348737610076e-15,1.2434497875801752e-15,1.3576441558273342e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_59,O=C(Nc1nncn1C1CC1)[C@H]1CCOc2ccccc21,O=C(Nc1nncn1C1CC1)[C@H]1CCOc2ccccc21,Polycyclic_Hetero,-1.7073429757073352e-14,2.508503915099002e-15,2.7965617809476916e-15,1,1,0.002840909090909091
Mpro,Mpro_SCAF_6,O=C(CNc1ccnc2ccccc12)Nc1cccnc1,O=C(CNc1ccnc2ccccc12)Nc1cccnc1,Polycyclic_Hetero,-4.1706320936490165e-14,3.39807547179914e-15,0.07188841377295817,1,1,0.002840909090909091
Mpro,Mpro_SCAF_60,O=C(Nc1cccnc1)[C@@H]1CCOc2ccccc21,O=C(Nc1cccnc1)[C@@H]1CCOc2ccccc21,Polycyclic_Hetero,3.411412566575481e-15,2.0455018150669552e-15,5.578029620692453e-15,1,2,0.005681818181818182
Mpro,Mpro_SCAF_61,O=C(Cc1ccccc1)Nc1cncc2ccccc12,O=C(Cc1ccccc1)Nc1cncc2ccccc12,Polycyclic_Hetero,3.5525830643270157e-13,-1.4854130997117169e-13,-9.976986557175598e-14,1,5,0.014204545454545454
