protein,pdb,chain,ligand,MW,Name
HER2,6o2p,A,AJP,1229.312,Digitonin
HER2,6o2p,A,VX7,392.491,"N-(2,4-di-tert-butyl-5-hydroxyphenyl)-4-oxo-1,4-dihydroquinoline-3-carboxamide"
HER2,6p0i,B,NL7,344.363,4-[(5-methoxypyridin-3-yl)sulfamoyl]benzene-1-sulfonic acid
HER2,6p0k,B,NLV,348.783,4-[(6-chloropyridin-2-yl)sulfamoyl]benzene-1-sulfonic acid
HER2,6p0l,B,NLJ,344.363,4-[(2-methoxypyridin-3-yl)sulfamoyl]benzene-1-sulfonic acid
HER2,6p0m,B,NLM,348.783,4-[(3-chloropyridin-2-yl)sulfamoyl]benzene-1-sulfonic acid
HER2,6p0n,B,NLS,332.328,4-[(6-fluoropyridin-2-yl)sulfamoyl]benzene-1-sulfonic acid
HER2,6u65,A,Q0A,529.647,2-[({4-[(4-fluorophenyl)methyl]piperazin-1-yl}sulfonyl)amino]-5-[(2-phenylethyl)sulfanyl]benzoic acid
HER2,6u65,B,Q0A,529.647,2-[({4-[(4-fluorophenyl)methyl]piperazin-1-yl}sulfonyl)amino]-5-[(2-phenylethyl)sulfanyl]benzoic acid
HER2,6u65,C,Q0A,529.647,2-[({4-[(4-fluorophenyl)methyl]piperazin-1-yl}sulfonyl)amino]-5-[(2-phenylethyl)sulfanyl]benzoic acid
HER2,6u65,D,Q0A,529.647,2-[({4-[(4-fluorophenyl)methyl]piperazin-1-yl}sulfonyl)amino]-5-[(2-phenylethyl)sulfanyl]benzoic acid
HER2,6vcu,A,R27,860.085,"N'-[(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-1,20,21-trioxo-8-(prop-2-en-1-yl)-1,3,4,5,6,8,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,26a-docosahydro-7H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosin-7-ylidene]acetohydrazide"
HER2,6vcu,B,R27,860.085,"N'-[(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-1,20,21-trioxo-8-(prop-2-en-1-yl)-1,3,4,5,6,8,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,26a-docosahydro-7H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosin-7-ylidene]acetohydrazide"
HER2,6vcu,C,R27,860.085,"N'-[(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-1,20,21-trioxo-8-(prop-2-en-1-yl)-1,3,4,5,6,8,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,26a-docosahydro-7H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosin-7-ylidene]acetohydrazide"
HER2,6vcu,D,R27,860.085,"N'-[(3S,4R,5S,8R,9E,12S,14S,15R,16S,18R,19R,26aS)-5,19-dihydroxy-3-{(1E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl}-14,16-dimethoxy-4,10,12,18-tetramethyl-1,20,21-trioxo-8-(prop-2-en-1-yl)-1,3,4,5,6,8,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,26a-docosahydro-7H-15,19-epoxypyrido[2,1-c][1,4]oxazacyclotricosin-7-ylidene]acetohydrazide"
HER2,7bia,A,GSH,307.323,GLUTATHIONE
HER2,7bia,B,GSH,307.323,GLUTATHIONE
HER2,7bia,A,TVQ,163.261,1-isothiocyanato-3-methylsulfinyl-propane
HER2,7nzn,A,VJH,554.621,2-[4-[[4-[1-[2-(dimethylamino)ethyl]pyrazol-4-yl]-6-[(3-methyl-1~{H}-pyrazol-5-yl)amino]pyrimidin-2-yl]amino]phenyl]-~{N}-(3-fluorophenyl)ethanamide
HER2,8ouu,A,W49,374.368,"5-(3-ethynyl-5-fluoranyl-1H-indazol-7-yl)-1-[(1S)-1-phenylethyl]pyrimidine-2,4-dione"
HER2,8ouu,B,W49,374.368,"5-(3-ethynyl-5-fluoranyl-1H-indazol-7-yl)-1-[(1S)-1-phenylethyl]pyrimidine-2,4-dione"
HER2,8ppl,Iw,MET,149.211,METHIONINE
HER2,8tdu,A,X3N,407.371,"N~2~-{(4S,11aP)-2-[(4S)-4-(difluoromethyl)-2-oxo-1,3-oxazolidin-3-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-L-alaninamide"
HER2,8tdu,C,X3N,407.371,"N~2~-{(4S,11aP)-2-[(4S)-4-(difluoromethyl)-2-oxo-1,3-oxazolidin-3-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-L-alaninamide"
HER2,8tdu,A,ZWE,401.291,"N-(2-aminopyrimidin-5-yl)-N'-[(1R)-1-(5,7-difluoro-3-methyl-1-benzofuran-2-yl)-2,2,2-trifluoroethyl]urea"
HER2,8tdu,C,ZWE,401.291,"N-(2-aminopyrimidin-5-yl)-N'-[(1R)-1-(5,7-difluoro-3-methyl-1-benzofuran-2-yl)-2,2,2-trifluoroethyl]urea"
HER2,8tgd,A,X3N,407.371,"N~2~-{(4S,11aP)-2-[(4S)-4-(difluoromethyl)-2-oxo-1,3-oxazolidin-3-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-L-alaninamide"
HER2,8tgd,C,X3N,407.371,"N~2~-{(4S,11aP)-2-[(4S)-4-(difluoromethyl)-2-oxo-1,3-oxazolidin-3-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-L-alaninamide"
HER2,8tgd,A,ZWE,401.291,"N-(2-aminopyrimidin-5-yl)-N'-[(1R)-1-(5,7-difluoro-3-methyl-1-benzofuran-2-yl)-2,2,2-trifluoroethyl]urea"
HER2,8tgd,C,ZWE,401.291,"N-(2-aminopyrimidin-5-yl)-N'-[(1R)-1-(5,7-difluoro-3-methyl-1-benzofuran-2-yl)-2,2,2-trifluoroethyl]urea"
