Protein,Scaffold_ID,Original_Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,CenterOfMass_X,CenterOfMass_Y,CenterOfMass_Z,Connectivity,Recruiter_Count,Recruiter_Density
BACE1,BACE1_SCAF_230,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cc(-c3ccccc3)cs2)N1,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cc(-c3ccccc3)cs2)N1,Polycyclic_Hetero,-1.9835341099085624e-13,3.055526846033583e-14,0.005742791093879682,1,2,0.005449591280653951
BACE1,BACE1_SCAF_231,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cccs2)N1,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2cccs2)N1,Polycyclic_Hetero,-9.86864910777917e-16,-5.150201253122254e-16,0.021858975622052728,1,4,0.010899182561307902
BACE1,BACE1_SCAF_232,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2ccccc2)N1,N=C1NC(=O)[C@@H]2CN(c3ncccn3)C[C@]2(c2ccccc2)N1,Polycyclic_Hetero,-6.0008977843841794e-15,-4.245606715194765e-14,0.03498104931942491,1,2,0.005449591280653951
BACE1,BACE1_SCAF_233,N=C1NC(c2ccc(-c3cccnc3)s2)CS(=O)(=O)N1,N=C1NC(c2ccc(-c3cccnc3)s2)CS(=O)(=O)N1,Polycyclic_Hetero,-2.2961077483785175e-12,-1.249086337834493e-12,-0.16047363594790112,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_234,N=C1NC(=O)[C@@](c2ccccc2)(c2cccc(NC(=O)c3ccco3)c2)N1,N=C1NC(=O)[C@@](c2ccccc2)(c2cccc(NC(=O)c3ccco3)c2)N1,Polycyclic_Hetero,7.947131325107515e-15,-1.9385010392757385e-14,-0.07241358671063554,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_235,O=C(Nc1cccc(C2CS(=O)(=O)NC=N2)c1)c1ccccn1,O=C(Nc1cccc(C2CS(=O)(=O)NC=N2)c1)c1ccccn1,Polycyclic_Hetero,-4.77695960865743e-15,-1.887379141862766e-15,-0.05514579550840874,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_236,c1ccc(-c2ccc3ncccc3c2)nc1,c1ccc(-c2ccc3ncccc3c2)nc1,Polycyclic_Hetero,2.1521246323503034e-14,-1.0461716962813975e-14,0.015641578810084742,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_237,O=C(Nc1ccc2c(c1)[C@@]1(COC=N1)c1cc(C3=CCCOC3)ncc1O2)c1ccccn1,O=C(Nc1ccc2c(c1)[C@@]1(COC=N1)c1cc(C3=CCCOC3)ncc1O2)c1ccccn1,Polycyclic_Hetero,9.719688366529672e-16,0.11189142060958303,-9.468317115671146e-15,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_238,O=C(NC1(CC#Cc2ccccc2-c2ccc3ncccc3c2)CC1)c1ccccc1,O=C(NC1(CC#Cc2ccccc2-c2ccc3ncccc3c2)CC1)c1ccccc1,Polycyclic_Hetero,-3.5810348397305616e-13,0.10047523944976522,1.2509490298974547e-13,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_239,O=C(Nc1ccc(CCc2ccccc2-c2ccc3ncccc3c2)nc1)c1ccccc1,O=C(Nc1ccc(CCc2ccccc2-c2ccc3ncccc3c2)nc1)c1ccccc1,Polycyclic_Hetero,1.7191644933031317e-12,-7.262048105717765e-14,0.20360536062435014,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_24,c1ccc(COc2ccc(-c3ccc4cc[nH]c4c3)cc2CNc2cccnc2)nc1,c1ccc(COc2ccc(-c3ccc4cc[nH]c4c3)cc2CNc2cccnc2)nc1,Polycyclic_Hetero,-1.457953254979451e-15,4.105730430689258e-15,0.1004752394501641,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_240,c1ccc2nc(N3CCCC3)ncc2c1,c1ccc2nc(N3CCCC3)ncc2c1,Polycyclic_Hetero,-8.53285696069049e-15,1.0864325312403318e-14,0.007817895990496196,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_241,O=C1N[C@H](CCNCc2ccccc2)Cc2cccc(c2)OCCCCOc2cccc1c2,O=C1N[C@H](CCNCc2ccccc2)Cc2cccc(c2)OCCCCOc2cccc1c2,Polycyclic_Hetero,-3.1571326749494455e-14,7.402625521116043e-15,-0.024930108548078672,1,2,0.005449591280653951
BACE1,BACE1_SCAF_242,O=C(NCCc1ccccc1)c1ccncc1,O=C(NCCc1ccccc1)c1ccncc1,Bicyclic_Hetero,8.795831446707692e-14,7.328188235445147e-14,-0.1471774293458798,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_243,O=C1NCCCCCCCCNC(=O)c2cccc1c2,O=C1NCCCCCCCCNC(=O)c2cccc1c2,Bicyclic_Hetero,4.062887592497299e-14,-3.7033950641590384e-14,0.03685838240319285,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_244,O=C1CCS(=O)(=O)Cc2cccc(c2)CCCCCN1,O=C1CCS(=O)(=O)Cc2cccc(c2)CCCCCN1,Bicyclic_Hetero,9.271716186137893e-15,1.478492125476428e-15,7.072933025172949e-15,1,1,0.0027247956403269754
BACE1,BACE1_SCAF_245,O=C1CCCCCOc2cccc(c2)C[C@@H](CCNCc2ccccc2)NC(=O)CN1,O=C1CCCCCOc2cccc(c2)C[C@@H](CCNCc2ccccc2)NC(=O)CN1,Polycyclic_Hetero,-3.0231372960543013e-13,1.4697227809779e-14,-2.3613055954996298e-14,1,1,0.0027247956403269754
