Scaffold_ID,Recruiter_Count,Protein
BACE1_SCAF_25,1,BACE1
BACE1_SCAF_250,1,BACE1
BACE1_SCAF_251,1,BACE1
BACE1_SCAF_252,1,BACE1
BACE1_SCAF_253,1,BACE1
BACE1_SCAF_254,1,BACE1
BACE1_SCAF_255,1,BACE1
BACE1_SCAF_256,1,BACE1
BACE1_SCAF_257,1,BACE1
BACE1_SCAF_258,1,BACE1
BACE1_SCAF_259,1,BACE1
BACE1_SCAF_26,1,BACE1
BACE1_SCAF_260,1,BACE1
BACE1_SCAF_261,1,BACE1
BACE1_SCAF_262,1,BACE1
BACE1_SCAF_263,1,BACE1
BACE1_SCAF_264,1,BACE1
BACE1_SCAF_265,1,BACE1
BACE1_SCAF_266,1,BACE1
BACE1_SCAF_267,1,BACE1
BACE1_SCAF_268,1,BACE1
BACE1_SCAF_269,1,BACE1
BACE1_SCAF_27,1,BACE1
BACE1_SCAF_270,1,BACE1
BACE1_SCAF_271,1,BACE1
BACE1_SCAF_272,1,BACE1
BACE1_SCAF_273,2,BACE1
BACE1_SCAF_274,1,BACE1
BACE1_SCAF_275,2,BACE1
BACE1_SCAF_276,3,BACE1
BACE1_SCAF_277,1,BACE1
BACE1_SCAF_278,1,BACE1
BACE1_SCAF_279,1,BACE1
BACE1_SCAF_28,1,BACE1
BACE1_SCAF_280,1,BACE1
BACE1_SCAF_281,1,BACE1
BACE1_SCAF_282,1,BACE1
BACE1_SCAF_283,1,BACE1
BACE1_SCAF_284,1,BACE1
BACE1_SCAF_285,1,BACE1
BACE1_SCAF_286,1,BACE1
BACE1_SCAF_287,1,BACE1
BACE1_SCAF_288,1,BACE1
BACE1_SCAF_289,1,BACE1
BACE1_SCAF_29,1,BACE1
BACE1_SCAF_290,1,BACE1
BACE1_SCAF_291,1,BACE1
BACE1_SCAF_292,1,BACE1
BACE1_SCAF_293,1,BACE1
BACE1_SCAF_3,1,BACE1
BACE1_SCAF_30,1,BACE1
BACE1_SCAF_31,1,BACE1
BACE1_SCAF_32,1,BACE1
BACE1_SCAF_33,1,BACE1
BACE1_SCAF_34,1,BACE1
BACE1_SCAF_35,1,BACE1
BACE1_SCAF_36,1,BACE1
BACE1_SCAF_37,1,BACE1
BACE1_SCAF_38,3,BACE1
BACE1_SCAF_39,1,BACE1
