protein,pdb,chain,ligand,MW,Name
DYRK1A,5a4q,D,Y3L,226.683,"N-(5-CHLORANYL-1,3-BENZOTHIAZOL-2-YL)ETHANAMIDE"
DYRK1A,5aik,A,AWR,337.34,"4-(7-METHOXY-1-(TRIFLUOROMETHYL)-9H-PYRIDO[3,4-B]INDOL-9-yl)butan-1-amine"
DYRK1A,5aik,B,AWR,337.34,"4-(7-METHOXY-1-(TRIFLUOROMETHYL)-9H-PYRIDO[3,4-B]INDOL-9-yl)butan-1-amine"
DYRK1A,5aik,C,AWR,337.34,"4-(7-METHOXY-1-(TRIFLUOROMETHYL)-9H-PYRIDO[3,4-B]INDOL-9-yl)butan-1-amine"
DYRK1A,5aik,D,AWR,337.34,"4-(7-METHOXY-1-(TRIFLUOROMETHYL)-9H-PYRIDO[3,4-B]INDOL-9-yl)butan-1-amine"
DYRK1A,6eiv,A,B6Q,464.583,"~{N}-[3-[[4-azanyl-2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eiv,B,B6Q,464.583,"~{N}-[3-[[4-azanyl-2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eiv,C,B6Q,464.583,"~{N}-[3-[[4-azanyl-2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6eiv,D,B6Q,464.583,"~{N}-[3-[[4-azanyl-2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide"
DYRK1A,6s11,A,KQE,356.301,"6-pyridin-4-yl-3-[3-(trifluoromethyloxy)phenyl]imidazo[1,2-b]pyridazine"
DYRK1A,6s11,B,KQE,356.301,"6-pyridin-4-yl-3-[3-(trifluoromethyloxy)phenyl]imidazo[1,2-b]pyridazine"
DYRK1A,6eis,A,B6N,424.35,"1-[4-fluoranyl-2-(trifluoromethyl)phenyl]-9-(1~{H}-pyrazol-4-yl)benzo[h][1,6]naphthyridin-2-one"
DYRK1A,6eis,B,B6N,424.35,"1-[4-fluoranyl-2-(trifluoromethyl)phenyl]-9-(1~{H}-pyrazol-4-yl)benzo[h][1,6]naphthyridin-2-one"
DYRK1A,6eis,C,B6N,424.35,"1-[4-fluoranyl-2-(trifluoromethyl)phenyl]-9-(1~{H}-pyrazol-4-yl)benzo[h][1,6]naphthyridin-2-one"
DYRK1A,6eis,D,B6N,424.35,"1-[4-fluoranyl-2-(trifluoromethyl)phenyl]-9-(1~{H}-pyrazol-4-yl)benzo[h][1,6]naphthyridin-2-one"
DYRK1A,6eip,A,B7B,420.507,"4-[[(3~{R},7~{S})-2-cyclopentyl-9-methyl-8-oxidanylidene-2,9,12,14-tetrazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),10,12-trien-13-yl]amino]benzamide"
DYRK1A,6eip,B,B7B,420.507,"4-[[(3~{R},7~{S})-2-cyclopentyl-9-methyl-8-oxidanylidene-2,9,12,14-tetrazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),10,12-trien-13-yl]amino]benzamide"
DYRK1A,6eip,C,B7B,420.507,"4-[[(3~{R},7~{S})-2-cyclopentyl-9-methyl-8-oxidanylidene-2,9,12,14-tetrazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),10,12-trien-13-yl]amino]benzamide"
DYRK1A,6eip,D,B7B,420.507,"4-[[(3~{R},7~{S})-2-cyclopentyl-9-methyl-8-oxidanylidene-2,9,12,14-tetrazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),10,12-trien-13-yl]amino]benzamide"
DYRK1A,6s1h,A,KQZ,239.276,"~{N},~{N}-dimethyl-4-(1~{H}-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine"
DYRK1A,6ej4,A,B7W,286.331,"3-(3-pyridin-3-yl-1~{H}-pyrrolo[2,3-b]pyridin-5-yl)aniline"
DYRK1A,6ej4,B,B7W,286.331,"3-(3-pyridin-3-yl-1~{H}-pyrrolo[2,3-b]pyridin-5-yl)aniline"
DYRK1A,6ej4,C,B7W,286.331,"3-(3-pyridin-3-yl-1~{H}-pyrrolo[2,3-b]pyridin-5-yl)aniline"
DYRK1A,6ej4,D,B7W,286.331,"3-(3-pyridin-3-yl-1~{H}-pyrrolo[2,3-b]pyridin-5-yl)aniline"
