pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
9i0a,9I0A,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/9I0A.cif,verified,WAR/PRMT4/9i0a.cif,WAR/PRMT4/9i0a.cif,true,3325489,,2026-06-05T08:10:30Z
7qrd,7QRD,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7QRD.cif,verified,WAR/PRMT4/7qrd.cif,WAR/PRMT4/7qrd.cif,true,3426297,,2026-06-05T08:10:30Z
7ppy,7PPY,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7PPY.cif,verified,WAR/PRMT4/7ppy.cif,WAR/PRMT4/7ppy.cif,true,3117738,,2026-06-05T08:10:30Z
9i9u,9I9U,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/9I9U.cif,verified,WAR/PRMT4/9i9u.cif,WAR/PRMT4/9i9u.cif,true,3317166,,2026-06-05T08:10:30Z
9o6h,9O6H,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/9O6H.cif,verified,WAR/PRMT4/9o6h.cif,WAR/PRMT4/9o6h.cif,true,1277586,,2026-06-05T08:10:30Z
9o37,9O37,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/9O37.cif,verified,WAR/PRMT4/9o37.cif,WAR/PRMT4/9o37.cif,true,387722,,2026-06-05T08:10:30Z
7pv6,7PV6,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7PV6.cif,verified,WAR/PRMT4/7pv6.cif,WAR/PRMT4/7pv6.cif,true,3231556,,2026-06-05T08:10:30Z
7puc,7PUC,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7PUC.cif,verified,WAR/PRMT4/7puc.cif,WAR/PRMT4/7puc.cif,true,3129463,,2026-06-05T08:10:30Z
7ppq,7PPQ,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7PPQ.cif,verified,WAR/PRMT4/7ppq.cif,WAR/PRMT4/7ppq.cif,true,3187815,,2026-06-05T08:10:30Z
7qph,7QPH,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7QPH.cif,verified,WAR/PRMT4/7qph.cif,WAR/PRMT4/7qph.cif,true,3221267,,2026-06-05T08:10:30Z
9i1t,9I1T,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/9I1T.cif,verified,WAR/PRMT4/9i1t.cif,WAR/PRMT4/9i1t.cif,true,3305965,,2026-06-05T08:10:30Z
7puq,7PUQ,PRMT4,rcsb,Histone-arginine methyltransferase CARM1 5'-{[2-(benzylcarbamamido)ethyl][3-(N'-cyclopentylcarbamimidamido)propyl]amino}-5'-deoxyadenosine I1K CALCIUM ION CA bound inhibitor Homo sapiens,https://files.rcsb.org/download/7PUQ.cif,verified,WAR/PRMT4/7puq.cif,WAR/PRMT4/7puq.cif,true,3166398,,2026-06-05T08:10:30Z
