Ligand,PDB,Error
GHJ,6dhc,GRAPH_FULL skipped: size>80
GHJ,6dhc,Size mismatch: SMILES=42 vs 3D=93
GHJ,6dhc,GRAPH_FULL skipped: size>80
GMF,4b0q,Size mismatch: SMILES=26 vs 3D=25
L3M,6nv9,Size mismatch: SMILES=44 vs 3D=96
L3M,6nv9,GRAPH_FULL skipped: size>80
L3M,6nv9,Size mismatch: SMILES=44 vs 3D=96
L3M,6nv9,GRAPH_FULL skipped: size>80
L3M,6nv9,Size mismatch: SMILES=44 vs 3D=96
L3M,6nv9,GRAPH_FULL skipped: size>80
VSI,4ivs,Size mismatch: SMILES=32 vs 3D=31
VTI,4ivt,Size mismatch: SMILES=30 vs 3D=29
ZQS,7myi,Size mismatch: SMILES=21 vs 3D=26
ZQS,7myi,Size mismatch: SMILES=21 vs 3D=26
ZRD,7myr,Size mismatch: SMILES=22 vs 3D=27
ZRD,7myr,Size mismatch: SMILES=22 vs 3D=27
