Ligand,Target,pdb_id,Chain,Residue_ID,basename,stage,timeout_sec,error_type,error_message
3KU,BACE1,4r92,A,501,4r92_A_3KU_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
3KU,BACE1,4r92,B,503,4r92_B_3KU_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=33 vs 3D=32
3KW,BACE1,4r95,B,502,4r95_B_3KW_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
3KW,BACE1,4r95,A,503,4r95_A_3KW_503,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
3RU,BACE1,3ru1,A,398,3ru1_A_3RU_398,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=23 vs 3D=46
3VP,BACE1,4wy6,A,401,4wy6_A_3VP_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=21 vs 3D=36
3WP,BACE1,4x2l,A,401,4x2l_A_3WP_401,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=16 vs 3D=28
411,BACE1,2ze1,A,1,2ze1_A_411_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
462,BACE1,2qu3,A,1,2qu3_A_462_1,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
4FP,BACE1,2ohn,A,405,2ohn_A_4FP_405,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=14 vs 3D=31
5T5,BACE1,6dmi,A,504,6dmi_A_5T5_504,MCS,60,ITEM_TIMEOUT,ITEM_TIMEOUT (>60s) at MCS
60S,BACE1,5he5,A,502,5he5_A_60S_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
60S,BACE1,5he5,B,502,5he5_B_60S_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
60T,BACE1,5he4,A,501,5he4_A_60T_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60T,BACE1,5he4,B,502,5he4_B_60T_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60U,BACE1,5hdx,A,501,5hdx_A_60U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60U,BACE1,5hdx,B,501,5hdx_B_60U_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=31 vs 3D=30
60V,BACE1,5hdv,A,501,5hdv_A_60V_501,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
60V,BACE1,5hdv,B,502,5hdv_B_60V_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=30 vs 3D=29
60W,BACE1,5hdu,A,502,5hdu_A_60W_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
60W,BACE1,5hdu,B,502,5hdu_B_60W_502,BUILD_ROWS,,ITEM_FAILED,Size mismatch: SMILES=35 vs 3D=34
