Protein,Recruiter,SMILES,Scaffold_ID,Scaffold_SMILES,Scaffold_Hash
PRMT4,LHB,COCN1C=C(C(=NC1=O)N)CNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_11,O=c1ncc(CNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)c[nH]1,4be2286f
PRMT4,LHF,c1cc(ccc1OCCN2C=C(C(=NC2=O)N)CNCC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)Br,PRMT4_SCAF_12,O=c1ncc(CNCC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)cn1CCOc1ccccc1,9966b9b1
PRMT4,6L7,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[NH+](CC[C@@H](C(=O)O)[NH3+])CC[NH3+])O)O)N,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,78K,COCN1C=C(C(=NC1=O)N)CN(CC[C@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_11,O=c1ncc(CNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)c[nH]1,4be2286f
PRMT4,78V,COCN1C=CC(=NC1=O)NCCNC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_13,O=c1nc(NCCNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)cc[nH]1,5fc99dc9
PRMT4,LHD,COCN1C=C(C(=NC1=O)N)C[NH2+]CC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_14,O=c1ncc(C[NH2+]CC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)c[nH]1,a0a9481e
PRMT4,7VM,CNCCN1CCC(CC1)c2cc(ccn2)CN(C)C(=O)c3cccc(c3)Oc4ccccc4,PRMT4_SCAF_15,O=C(NCc1ccnc(C2CCNCC2)c1)c1cccc(Oc2ccccc2)c1,d0a21ff6
PRMT4,BW4,Cc1c(nc(nc1N2CC3(C2)CCN(CC3)C(=O)OC)c4cc(ccc4Cl)OC[C@@H](CNC)O)c5c(noc5C)C,PRMT4_SCAF_16,c1ccc(-c2nc(-c3cnoc3)cc(N3CC4(CCNCC4)C3)n2)cc1,3a0ac50d
PRMT4,BW7,CC(C)n1c2c(cn1)c(cc(n2)c3cccc(c3)OC[C@@H](CN)O)N4CCOCC4,PRMT4_SCAF_17,c1ccc(-c2cc(N3CCOCC3)c3cn[nH]c3n2)cc1,aa80471e
PRMT4,FTG,c1ccc(cc1)CNC[C@@H](CC[C@@H](C(=O)NCCc2ccc(cc2)O)N)C[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O,PRMT4_SCAF_18,O=C(CCC[C@H](CNCc1ccccc1)C[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCc1ccccc1,6e69aaa8
PRMT4,HDG,COc1ccc(cc1)CCNC(=O)[C@@H](CC[C@@H](C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)CNCc5ccccc5)N,PRMT4_SCAF_18,O=C(CCC[C@H](CNCc1ccccc1)C[C@@H]1CC[C@H](n2cnc3cncnc32)O1)NCCc1ccccc1,6e69aaa8
PRMT4,P15,COCCOCCOCCOCCOCCOCCO,PRMT4_SCAF_19,,f8a2de4d
PRMT4,XJ2,CNC[C@H](CN1CCCc2ccccc2C1)O,PRMT4_SCAF_20,c1ccc2c(c1)CCCNC2,1c500949
PRMT4,KYB,[H]/N=C(/N)\NCCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,KYE,[H]/N=C(/N)\NCCCCCN(CC[C@@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,KY8,c1cnc(nc1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_21,c1cnc(NCCCNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)nc1,9169bfd3
PRMT4,KXW,c1ccnc(c1)NCCCN(CC[C@@H](C(=O)O)N)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_22,c1ccc(NCCCNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)nc1,5e7242dc
PRMT4,KY5,c1ccnc(c1)NCCCN(CCCN)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O,PRMT4_SCAF_22,c1ccc(NCCCNC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)nc1,5e7242dc
PRMT4,KYH,[H]/N=C(\N)/NCCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,KY2,[H]/N=C(\N)/NCCCN(CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,PRMT4_SCAF_1,c1ncc2ncn([C@H]3CCCO3)c2n1,bec95c18
PRMT4,XJ3,Cc1c(nc(nc1NC2CCOCC2)c3cccc(c3)CNCCNC)c4c(noc4C)C,PRMT4_SCAF_23,c1ccc(-c2nc(NC3CCOCC3)cc(-c3cnoc3)n2)cc1,7c01c306
