protein,pdb,chain,ligand,MW,Name
CRBN,9djx,A,A1A5I,385.457,"(3S)-3-(5-{[(3R,6S)-1-ethyl-6-methylpiperidin-3-yl]oxy}-1-oxo-1,3-dihydro-2H-isoindol-2-yl)piperidine-2,6-dione"
CRBN,9djx,D,A1A5I,385.457,"(3S)-3-(5-{[(3R,6S)-1-ethyl-6-methylpiperidin-3-yl]oxy}-1-oxo-1,3-dihydro-2H-isoindol-2-yl)piperidine-2,6-dione"
CRBN,9hpi,B,A1IW1,486.562,"(3~{S})-3-[3-oxidanylidene-5-[8-(phenylcarbonyl)-2,8-diazaspiro[4.5]decan-2-yl]-1~{H}-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9hpi,C,A1IW1,486.562,"(3~{S})-3-[3-oxidanylidene-5-[8-(phenylcarbonyl)-2,8-diazaspiro[4.5]decan-2-yl]-1~{H}-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9hne,C,A1IWG,306.246,"2-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-6-fluoranyl-1-oxidanylidene-3~{H}-isoindole-5-carboxylic acid"
CRBN,9hne,F,A1IWG,306.246,"2-[(3~{S})-2,6-bis(oxidanylidene)piperidin-3-yl]-6-fluoranyl-1-oxidanylidene-3~{H}-isoindole-5-carboxylic acid"
CRBN,9dwv,B,A1BC8,292.314,"(3S)-3-[(4M)-4-(4-methoxythiophen-3-yl)-1H-1,2,3-triazol-1-yl]piperidine-2,6-dione"
CRBN,9h59,B,A1ISP,410.466,"2-[(3S)-2,6-bis(oxidanylidene)piperidin-3-yl]-5-[(1S,2R,5S)-2-(ethylamino)-8-azabicyclo[3.2.1]octan-8-yl]isoindole-1,3-dione"
CRBN,9htk,A,A1IXA,221.276,"(3S)-3-phenylsulfanylpiperidine-2,6-dione"
CRBN,9htk,C,A1IXA,221.276,"(3S)-3-phenylsulfanylpiperidine-2,6-dione"
CRBN,9htk,B,A1I4R,221.276,"(3R)-3-phenylsulfanylpiperidine-2,6-dione"
CRBN,9htl,A,A1IW9,205.21,"(3~{R})-3-phenoxypiperidine-2,6-dione"
CRBN,9htl,B,A1IW9,205.21,"(3~{R})-3-phenoxypiperidine-2,6-dione"
CRBN,9hpj,B,A1IW1,486.562,"(3~{S})-3-[3-oxidanylidene-5-[8-(phenylcarbonyl)-2,8-diazaspiro[4.5]decan-2-yl]-1~{H}-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9hpj,C,A1IW1,486.562,"(3~{S})-3-[3-oxidanylidene-5-[8-(phenylcarbonyl)-2,8-diazaspiro[4.5]decan-2-yl]-1~{H}-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9htn,A,A1IW7,244.289,"(3R)-3-(3,4-dihydro-2H-quinolin-1-yl)piperidine-2,6-dione"
CRBN,9htn,B,A1I4Q,244.289,"(3S)-3-(3,4-dihydro-2H-quinolin-1-yl)piperidine-2,6-dione"
CRBN,9htn,C,A1I4Q,244.289,"(3S)-3-(3,4-dihydro-2H-quinolin-1-yl)piperidine-2,6-dione"
CRBN,9hto,A,A1IW6,228.247,"(3~{S})-3-indol-1-ylpiperidine-2,6-dione"
CRBN,9hto,B,A1IW6,228.247,"(3~{S})-3-indol-1-ylpiperidine-2,6-dione"
CRBN,9hto,C,A1IW6,228.247,"(3~{S})-3-indol-1-ylpiperidine-2,6-dione"
CRBN,9htm,A,A1IW8,204.225,"(3R)-3-phenylazanylpiperidine-2,6-dione"
CRBN,9htm,B,A1IW8,204.225,"(3R)-3-phenylazanylpiperidine-2,6-dione"
CRBN,9htm,C,A1I4P,204.225,"(3S)-3-phenylazanylpiperidine-2,6-dione"
CRBN,9htp,B,A1IW5,218.252,"(3~{S})-3-[methyl(phenyl)amino]piperidine-2,6-dione"
CRBN,9htq,A,A1IW4,278.305,"(3~{S})-3-carbazol-9-ylpiperidine-2,6-dione"
CRBN,9htq,B,A1IW4,278.305,"(3~{S})-3-carbazol-9-ylpiperidine-2,6-dione"
CRBN,9htq,C,A1IW4,278.305,"(3~{S})-3-carbazol-9-ylpiperidine-2,6-dione"
CRBN,9nfq,B,A1BX6,572.635,"(3S)-N-{[(4R)-3-(2,4-dioxo-1,3-diazinan-1-yl)imidazo[1,2-a]pyridin-7-yl]methyl}-2-(phenylmethanesulfonyl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide"
CRBN,9nwt,B,QFC,567.61,Mezigdomide
CRBN,9nws,B,QFC,567.61,Mezigdomide
CRBN,9o91,A,A1CAC,443.498,"(3S)-3-[(5M)-1-oxo-5-{4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9o91,C,A1CAC,443.498,"(3S)-3-[(5M)-1-oxo-5-{4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9o91,E,A1CAC,443.498,"(3S)-3-[(5M)-1-oxo-5-{4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9o91,G,A1CAC,443.498,"(3S)-3-[(5M)-1-oxo-5-{4-[(pyrrolidin-1-yl)methyl]-1H-pyrrolo[2,3-b]pyridin-6-yl}-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,9odr,A,A1CAV,355.388,"(3S)-3-(6-oxo-6,8-dihydro-2H,7H-spiro[furo[2,3-e]isoindole-3,4'-piperidin]-7-yl)piperidine-2,6-dione"
