Ligand,Name,Formula,Type,SMILES,Parent_SMILES,Salt_Stripped,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
7Z9,2-azanyl-6-methyl-5-pyridin-4-ylsulfanyl-3H-quinazolin-4-one,C14 H12 N4 O S,non-polymer,Cc1ccc2c(c1Sc3ccncc3)C(=O)NC(=N2)N,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,False,Cc1ccc2nc(N)[nH]c(=O)c2c1Sc1ccncc1,"InChI=1S/C14H12N4OS/c1-8-2-3-10-11(13(19)18-14(15)17-10)12(8)20-9-4-6-16-7-5-9/h2-7H,1H3,(H3,15,17,18,19)",XHWRWCSCBDLOLM-UHFFFAOYSA-N,284.34400000000005,2.3599200000000002,84.66,5,2,2,3,3,0.07142857142857142,20,0,0,0.7542952775207158,829.691781992004,-2.34,12.681588779340341,4.974004116895683,2.2518320648073638,0,0,0,3,0,6,79.87310000000001,nan,True,True,True,True,True,None,None
MTX,METHOTREXATE,C20 H22 N8 O5,non-polymer,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1",FBOZXECLQNJBKD-ZDUSSCGKSA-N,454.44700000000023,0.2684000000000003,210.53999999999996,10,5,9,3,3,0.25,33,0,0,0.29472034504927447,1201.0294275064248,-4.55,23.12024193744085,9.71963980458573,5.782489078211631,0,0,0,3,0,13,118.26160000000006,nan,True,False,False,True,False,None,None
7ZC,"1-(5-methoxy-1H-indol-3-yl)-N,N-dimethyl-methanamine",C12 H16 N2 O,non-polymer,CN(C)Cc1c[nH]c2c1cc(cc2)OC,COc1ccc2[nH]cc(CN(C)C)c2c1,False,COc1ccc2[nH]cc(CN(C)C)c2c1,"InChI=1S/C12H16N2O/c1-14(2)8-9-7-13-12-5-4-10(15-3)6-11(9)12/h4-7,13H,8H2,1-3H3",GOERTRUXQHDLHC-UHFFFAOYSA-N,204.273,2.2381,28.26,2,1,3,2,2,0.3333333333333333,15,0,0,0.8301075017941042,459.59010069133717,-1.4799999999999998,10.051991591345459,3.9459772237611572,1.970102259258501,0,0,0,2,0,3,62.24170000000004,nan,True,True,True,False,True,None,None
TGQ,"(2~{S})-2-[[4-[[(6~{R})-2-azanyl-4-oxidanylidene-5,6,7,8-tetrahydro-1~{H}-pteridin-6-yl]methyl-methyl-amino]phenyl]carbonylamino]pentanedioic acid",C20 H25 N7 O6,non-polymer,CN(C[C@H]1CNC2=C(N1)C(=O)N=C(N2)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,CN(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,CN(C[C@H]1CNc2[nH]c(N)nc(=O)c2N1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"InChI=1S/C20H25N7O6/c1-27(9-11-8-22-16-15(23-11)18(31)26-20(21)25-16)12-4-2-10(3-5-12)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,11,13,23H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,22,25,26,31)/t11-,13+/m1/s1",ZHKQAQKGVKBJPP-YPMHNXCESA-N,459.46300000000025,-0.257699999999999,202.76999999999995,9,7,9,3,2,0.35,33,0,0,0.26022195119447655,1101.0726103456773,-4.29,23.374730436438565,9.889514284280702,5.901662396631066,0,0,1,2,0,13,120.64230000000006,nan,True,False,False,True,False,None,None
FGT,"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C20 H14 O4,non-polymer,c1ccc2c(c1)C(=O)OC2(c3ccc(cc3)O)c4ccc(cc4)O,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,False,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H",KJFMBFZCATUALV-UHFFFAOYSA-N,318.32800000000003,3.5601000000000016,66.76,4,2,2,4,3,0.05,24,0,0,0.709067432457466,865.6287032132531,-3.269999999999999,14.330389548880873,5.1305128927740995,1.9656416792046156,0,0,1,3,0,4,87.95310000000002,nan,True,True,True,True,True,None,None
D96,"N-{4-[(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]benzene-1-carbonyl}-D-glutamic acid",C19 H19 N5 O6,non-polymer,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)N[C@H](CCC(=O)O)C(=O)O,Nc1nc2[nH]cc(Cc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,False,Nc1nc2[nH]cc(Cc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,"InChI=1S/C19H19N5O6/c20-19-23-15-14(17(28)24-19)11(8-21-15)7-9-1-3-10(4-2-9)16(27)22-12(18(29)30)5-6-13(25)26/h1-4,8,12H,5-7H2,(H,22,27)(H,25,26)(H,29,30)(H4,20,21,23,24,28)/t12-/m1/s1",VDHBMZRBPMTLGE-GFCCVEGCSA-N,413.39000000000016,0.47200000000000053,191.25999999999996,6,6,8,3,3,0.21052631578947367,30,0,0,0.30676955140767986,1164.3668681682564,-4.15,20.5808323314499,8.47069487287431,4.631943686306748,0,0,0,3,0,11,106.13460000000003,nan,True,False,False,True,False,None,None
2XB,"N-{4-[(2-amino-4-hydroxy-7H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]benzoyl}-L-glutamic acid",C19 H19 N5 O6,non-polymer,c1cc(ccc1Cc2c[nH]c3c2c(nc(n3)N)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Nc1nc(O)c2c(Cc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,False,Nc1nc(O)c2c(Cc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,"InChI=1S/C19H19N5O6/c20-19-23-15-14(17(28)24-19)11(8-21-15)7-9-1-3-10(4-2-9)16(27)22-12(18(29)30)5-6-13(25)26/h1-4,8,12H,5-7H2,(H,22,27)(H,25,26)(H,29,30)(H4,20,21,23,24,28)/t12-/m0/s1",VDHBMZRBPMTLGE-LBPRGKRZSA-N,413.39000000000016,0.8842999999999999,191.51999999999998,7,6,8,3,3,0.21052631578947367,30,0,0,0.31093092064252775,1108.5505238618484,-4.150000000000001,20.5808323314499,8.470694872874306,4.631943686306745,0,0,0,3,0,11,104.97370000000004,nan,True,False,False,True,False,None,None
OE7,"2-({4-[(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]benzene-1-carbonyl}amino)-4-chlorobenzoic acid",C21 H16 Cl N5 O4,non-polymer,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)Cl,Nc1nc2[nH]cc(Cc3ccc(C(=O)Nc4cc(Cl)ccc4C(=O)O)cc3)c2c(=O)[nH]1,False,Nc1nc2[nH]cc(Cc3ccc(C(=O)Nc4cc(Cl)ccc4C(=O)O)cc3)c2c(=O)[nH]1,"InChI=1S/C21H16ClN5O4/c22-13-5-6-14(20(30)31)15(8-13)25-18(28)11-3-1-10(2-4-11)7-12-9-24-17-16(12)19(29)27-21(23)26-17/h1-6,8-9H,7H2,(H,25,28)(H,30,31)(H4,23,24,26,27,29)",OBHYLCXTIVOOGV-UHFFFAOYSA-N,437.8430000000001,3.0281000000000002,153.95999999999998,5,5,5,4,4,0.047619047619047616,31,0,0,0.3230511517231324,1375.046718895755,-4.109999999999999,20.17451360799792,7.9594421913302,4.119606396164438,0,0,0,4,0,10,116.73930000000001,nan,True,False,False,True,False,None,None
OEJ,"2-({4-[(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]benzene-1-carbonyl}amino)benzene-1,4-dicarboxylic acid",C22 H17 N5 O6,non-polymer,c1cc(ccc1Cc2c[nH]c3c2C(=O)NC(=N3)N)C(=O)Nc4cc(ccc4C(=O)O)C(=O)O,Nc1nc2[nH]cc(Cc3ccc(C(=O)Nc4cc(C(=O)O)ccc4C(=O)O)cc3)c2c(=O)[nH]1,False,Nc1nc2[nH]cc(Cc3ccc(C(=O)Nc4cc(C(=O)O)ccc4C(=O)O)cc3)c2c(=O)[nH]1,"InChI=1S/C22H17N5O6/c23-22-26-17-16(19(29)27-22)13(9-24-17)7-10-1-3-11(4-2-10)18(28)25-15-8-12(20(30)31)5-6-14(15)21(32)33/h1-6,8-9H,7H2,(H,25,28)(H,30,31)(H,32,33)(H4,23,24,26,27,29)",UKZJDHHDTGYQBX-UHFFFAOYSA-N,447.40700000000015,2.0728999999999997,191.25999999999996,6,6,6,4,4,0.045454545454545456,33,0,0,0.25856865077999736,1469.1606533923268,-4.93,21.307692352235975,8.303896385554895,4.277118292210399,0,0,0,4,0,11,118.68860000000005,nan,True,False,False,True,False,None,None
FFO,"N-[4-({[(6S)-2-amino-5-formyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoyl]-L-glutamic acid",C20 H23 N7 O7,non-polymer,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCC2CNC3=C(N2C=O)C(=O)NC(=N3)N,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,False,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)",VVIAGPKUTFNRDU-UHFFFAOYSA-N,473.4460000000002,-0.7310999999999979,219.84,9,7,10,3,2,0.3,34,0,0,0.21313148229853152,1148.9497925506862,-4.620000000000001,24.030936463775323,10.331188737541911,5.5905539764341805,0,0,1,2,0,14,120.78230000000003,nan,True,False,False,False,False,None,aldehyde
08D,Sulfamethoxazole,C10 H11 N3 O3 S,non-polymer,Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,False,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",JLKIGFTWXXRPMT-UHFFFAOYSA-N,253.28300000000002,1.3660199999999998,98.22,5,2,3,2,2,0.1,17,0,0,0.804736706639606,616.5006093542686,-2.0199999999999996,11.464961646363335,4.095983503072133,2.5628629762604866,0,0,0,2,0,7,62.90290000000002,nan,True,True,True,False,True,None,aniline
