pdb_id,requested_pdb_id,target,source,query,download_url,status,intended_path,actual_path,exists,size_bytes,error,downloaded_at
4d8c,4D8C,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4D8C.cif,verified,WAR/BACE1/4d8c.cif,WAR/BACE1/4d8c.cif,true,1033787,,2026-06-06T07:57:55Z
4di2,4DI2,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DI2.cif,verified,WAR/BACE1/4di2.cif,WAR/BACE1/4di2.cif,true,1030457,,2026-06-06T07:57:55Z
4dju,4DJU,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DJU.cif,verified,WAR/BACE1/4dju.cif,WAR/BACE1/4dju.cif,true,1288422,,2026-06-06T07:57:55Z
4djv,4DJV,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DJV.cif,verified,WAR/BACE1/4djv.cif,WAR/BACE1/4djv.cif,true,1288595,,2026-06-06T07:57:55Z
4djw,4DJW,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DJW.cif,verified,WAR/BACE1/4djw.cif,WAR/BACE1/4djw.cif,true,1289288,,2026-06-06T07:57:55Z
4djx,4DJX,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DJX.cif,verified,WAR/BACE1/4djx.cif,WAR/BACE1/4djx.cif,true,1303154,,2026-06-06T07:57:55Z
4dus,4DUS,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DUS.cif,verified,WAR/BACE1/4dus.cif,WAR/BACE1/4dus.cif,true,355182,,2026-06-06T07:57:56Z
4dpi,4DPI,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DPI.cif,verified,WAR/BACE1/4dpi.cif,WAR/BACE1/4dpi.cif,true,655684,,2026-06-06T07:57:56Z
4dv9,4DV9,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DV9.cif,verified,WAR/BACE1/4dv9.cif,WAR/BACE1/4dv9.cif,true,382070,,2026-06-06T07:57:56Z
4ewo,4EWO,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4EWO.cif,verified,WAR/BACE1/4ewo.cif,WAR/BACE1/4ewo.cif,true,413745,,2026-06-06T07:57:56Z
4dvf,4DVF,BACE1,rcsb,Beta secretase 1,https://files.rcsb.org/download/4DVF.cif,verified,WAR/BACE1/4dvf.cif,WAR/BACE1/4dvf.cif,true,697325,,2026-06-06T07:57:56Z
