SMILES,Warhead
COc1cc2c(c3c1C4=C(C(=O)CC4)C(=O)O3)[C@@H]5C=CO[C@@H]5O2,['AFT']
COc1cc2c(cc1OC)C(=O)/C(=C/C3CCN(CC3)Cc4ccccc4)/C2,['DZ7']
COc1cc2c(cc1OC)C(=O)[C@@H](C2)CC3CCN(CC3)Cc4ccccc4,['E20']
COc1cc2c(cc1OC)OC(=O)C(=C2)NC(=O)[C@@H]3CCC[C@@H](C3)NCc4ccccc4,['N9T']
COc1ccc2c(c1)C/C(=C\C3CCN(CC3)Cc4ccccc4)/C2=O,['DZ0']
COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N+](=C2)CCCCCCCCN5C(=O)c6ccccc6C5=O)C=C[C@@H](C4)O,['GL8']
COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N@@](C2)CCCCCCN5C(=O)c6ccccc6S5(=O)=O)C=C[C@@H](C4)O,['G6X']
COc1ccc2c3c1O[C@@H]4[C@@]3(CC[N@](C2)CCCN5CCCCC5)C=C[C@@H](C4)O,['G3X']
CP(=O)(O)O,['GB']
CS(=O)(=O)O,['03S']
C[As+](C)(C)CCO[C@@H](c1ccccc1[N+](=O)O)C(F)(F)F,['CFQ']
C[C@@H](c1cccc(c1)O)N(C)C,['SAF']
C[C@@H]1CN(C[C@@H](O1)C)CCCCCCCCNC=O,['MF2']
C[C@@]12CCN[C@@H]1Nc3c2cc(cc3)O,['NHG']
C[C@H](C(C)(C)C)O[P@H](=O)C,['GD8']
C[C@H](CCC[N+](C)(C)C)O,['CCD']
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,['DME']
C[N+](C)(C)CCS,['ETM']
C[N+](C)(C)c1cccc(c1)C(C(F)(F)F)(O)O,['NAF']
C[N+](C)(CC=C)c1ccc(cc1)CCC(=O)CCc2ccc(cc2)[N+](C)(C)CC=C,['EBW']
C[N@@]1CC[C@@]23C=C[C@@H](C[C@@H]2Oc4c3c(ccc4OC)C1)O,['GNT']
C[NH+](Cc1ccnc(c1)NC(=O)Nc2cccc3c2[C@@H]4CCCCN4C3=O)Cc5cn(nn5)CCNC6=C7C=CC=CC7=NC8C6CCCC8,['FJN']
C[P@H](=O)[O-],['VXA']
C[n+]1c2cc(ccc2c(c3c1CCCC3)N)Cl,['E1K']
C[n+]1c2ccc(cc2sc1c3ccc(cc3)N(C)C)O,['TFL']
Cc1c(c(c2c(n1)cccc2F)N)CSCc3cccc(c3)C(C(F)(F)F)(O)O,['FBQ']
c1cc(c(nc1CCCCCN2CCOCC2)/C=N/O)O,['RM0']
c1cc2c(c(c1)NC(=O)Nc3cc(ccn3)COCc4cn(nn4)CCNC5=C6C=CC=CC6=NC7C5CCCC7)[C@H]8CCCCN8C2=O,['FJK']
c1cc2c(c(c1)O)C(=O)C=C(C2=O)NCCNc3c4ccc(cc4nc5c3CCCC5)Cl,['TJH']
c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)/C=N\O)O,['JDS']
c1cc2c(cc1Cl)c(c3c(n2)CCCC3)NCCCCc4ccc(c(n4)CNO)O,['E2W']
c1cc[n+](c(c1)\C=N\O)CCCCCCC[n+]2ccccc2\C=N\O,['HBP']
c1ccc2c(c1)c(c3c([nH+]2)CCCC3)NCCCCCCCC[NH3+],['A8N']
c1ccc2c(c1)c(c3c(n2)CCCC3)N,['THA']
c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCCCN[C@@H]4CCCC5=C4C=CC(=O)N5,['A1E']
