Ligand,Name,Formula,Type,SMILES,Canonical_SMILES,InChI,InChIKey,MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Chiral_Atoms,Formal_Charge,QED,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,SA_Score,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits
3NG,,,,c1cc(cc(c1)Cl)Nc2c3ccncc3c4ccc(cc4n2)C(=O)O,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,"InChI=1S/C19H12ClN3O2/c20-12-2-1-3-13(9-12)22-18-15-6-7-21-10-16(15)14-5-4-11(19(24)25)8-17(14)23-18/h1-10H,(H,22,23)(H,24,25)",MUOKSQABCJCOPU-UHFFFAOYSA-N,349.7770000000001,4.878200000000003,75.11,4,2,3,4,4,0.0,25,0,0,0.5155344149379015,1128.0819611094416,-3.1799999999999997,15.353685565889066,6.032821244387821,2.855292745607225,0,0,0,4,0,6,98.73800000000004,,True,True,True,True,True,None,Polycyclic_aromatic_hydrocarbon_3
QY8,,,,c1c[nH]c2c1C(=O)NC(=N2)N,Nc1nc2[nH]ccc2c(=O)[nH]1,"InChI=1S/C6H6N4O/c7-6-9-4-3(1-2-8-4)5(11)10-6/h1-2H,(H4,7,8,9,10,11)",OLAFFPNXVJANFR-UHFFFAOYSA-N,150.14099999999996,-0.1666000000000002,87.56,3,3,0,2,2,0.0,11,0,0,0.4869580597930594,441.02416352868136,-1.7799999999999998,5.964482443005351,1.849766490940581,0.7778400208977218,0,0,0,2,0,5,41.12679999999999,,True,True,True,False,False,None,None
B6N,,,,c1cc2c(cc1c3c[nH]nc3)c4c(cn2)C=CC(=O)N4c5ccc(cc5C(F)(F)F)F,O=c1ccc2cnc3ccc(-c4cn[nH]c4)cc3c2n1-c1ccc(F)cc1C(F)(F)F,"InChI=1S/C22H12F4N4O/c23-15-3-5-19(17(8-15)22(24,25)26)30-20(31)6-2-13-9-27-18-4-1-12(7-16(18)21(13)30)14-10-28-29-11-14/h1-11H,(H,28,29)",GDVQGEPAYBCRBS-UHFFFAOYSA-N,424.357,5.086900000000001,63.57,3,1,2,5,5,0.045454545454545456,31,0,0,0.3173264561488012,1504.5646511002076,-4.009999999999999,18.983325351077145,6.76275902814314,3.1426389259512555,0,0,0,5,0,9,107.38770000000002,,True,True,True,True,False,None,Polycyclic_aromatic_hydrocarbon_3
RKQ,,,,Cc1nc2ccc(nc2n1CCOc3ccccc3)c4cc(nc(c4)N)N,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCOc1ccccc1,"InChI=1S/C20H20N6O/c1-13-23-17-8-7-16(14-11-18(21)25-19(22)12-14)24-20(17)26(13)9-10-27-15-5-3-2-4-6-15/h2-8,11-12H,9-10H2,1H3,(H4,21,22,25)",XQMMPFLQOCIGRW-UHFFFAOYSA-N,360.4210000000001,3.0451200000000007,104.86999999999999,6,2,5,4,4,0.15,27,0,0,0.566648185261584,1070.281373543806,-3.6099999999999994,16.8368029259421,6.950874359416093,3.5247742715535932,0,0,0,4,0,7,106.25780000000003,,True,True,True,True,True,None,None
B5Z,,,,c1cc(cc(c1)NC(=O)NCCN2CCOCC2)c3ccc4c(n3)sc(n4)NC(=O)C5CC5,O=C(NCCN1CCOCC1)Nc1cccc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)c1,"InChI=1S/C23H26N6O3S/c30-20(15-4-5-15)28-23-27-19-7-6-18(26-21(19)33-23)16-2-1-3-17(14-16)25-22(31)24-8-9-29-10-12-32-13-11-29/h1-3,6-7,14-15H,4-5,8-13H2,(H2,24,25,31)(H,27,28,30)",NVIJYBFQLMPXOI-UHFFFAOYSA-N,466.5670000000001,3.1605000000000008,108.48000000000002,7,3,7,5,3,0.391304347826087,33,0,0,0.4936609933847247,1156.0591710646165,-3.0799999999999996,21.74935987006052,9.81737765502326,5.6471407255524735,0,0,2,3,2,10,128.48510000000005,,True,True,True,True,True,None,None
B7W,,,,c1cc(cc(c1)N)c2cc3c(c[nH]c3nc2)c4cccnc4,Nc1cccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1,"InChI=1S/C18H14N4/c19-15-5-1-3-12(7-15)14-8-16-17(11-22-18(16)21-10-14)13-4-2-6-20-9-13/h1-11H,19H2,(H,21,22)",YWOJRGRRNWQSOH-UHFFFAOYSA-N,286.338,3.874100000000001,67.59,3,2,2,4,4,0.0,22,0,0,0.549514026205951,941.6385760013743,-3.1399999999999992,12.58937825252438,5.001555037753448,2.107392343028263,0,0,0,4,0,4,89.1731,,True,True,True,True,True,None,aniline
QYB,,,,c1ccc(cc1)c2c3c(n[nH]2)N=CNC3=O,O=c1[nH]cnc2n[nH]c(-c3ccccc3)c12,"InChI=1S/C11H8N4O/c16-11-8-9(7-4-2-1-3-5-7)14-15-10(8)12-6-13-11/h1-6H,(H2,12,13,14,15,16)",KCPLJPHQKPGNHT-UHFFFAOYSA-N,212.212,1.3131999999999997,74.43,3,2,1,3,3,0.0,16,0,0,0.6382825368562203,683.7759864710576,-2.43,8.844497792924738,3.3032304812929754,1.2185625207802115,0,0,0,3,0,5,59.9454,,True,True,True,False,True,None,None
B5T,,,,c1cc(cnc1)c2c[nH]c3c2cc(cn3)c4ccc(cc4)S(=O)(=O)N,NS(=O)(=O)c1ccc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)cc1,"InChI=1S/C18H14N4O2S/c19-25(23,24)15-5-3-12(4-6-15)14-8-16-17(11-22-18(16)21-10-14)13-2-1-7-20-9-13/h1-11H,(H,21,22)(H2,19,23,24)",GUBNPZDHUYZSLK-UHFFFAOYSA-N,350.4030000000001,2.9393000000000002,101.73,4,2,3,4,4,0.0,25,0,0,0.5928565952651697,1150.892913423292,-3.0299999999999994,15.49493765446048,5.800605979284895,2.9047169906751913,0,0,0,4,0,7,96.13390000000003,,True,True,True,True,True,None,None
Y3L,,,,CC(=O)Nc1nc2ccc(cc2s1)Cl,CC(=O)Nc1nc2ccc(Cl)cc2s1,"InChI=1S/C9H7ClN2OS/c1-5(13)11-9-12-7-3-2-6(10)4-8(7)14-9/h2-4H,1H3,(H,11,12,13)",BCQXILHHRAEBLY-UHFFFAOYSA-N,226.688,2.908100000000001,41.99,3,1,1,2,2,0.1111111111111111,14,0,0,0.8125677228540185,494.517653178852,-1.1299999999999997,9.425991909631563,3.5523362931019418,1.858484791152467,0,0,0,2,0,5,58.93370000000002,,True,True,True,False,True,None,None
B6H,,,,CCC(=O)Nc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3OC)N4CCN(CC4)C)N,CCC(=O)Nc1ccc(C(=O)c2sc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc2N)cc1,"InChI=1S/C25H30N6O3S/c1-4-21(32)27-17-7-5-16(6-8-17)22(33)23-24(26)29-25(35-23)28-19-10-9-18(15-20(19)34-3)31-13-11-30(2)12-14-31/h5-10,15H,4,11-14,26H2,1-3H3,(H,27,32)(H,28,29)",SSVRRCACHPATAI-UHFFFAOYSA-N,494.6210000000003,3.8088000000000015,112.82,9,3,8,4,3,0.32,35,0,0,0.40541329230514067,1202.4112620574417,-3.63,24.493172337115254,10.747969628171761,5.720137831113457,0,0,1,3,1,10,141.30829999999992,,True,True,True,False,True,None,None
